i exec;duracao (ms);hora início;hora fim
1;562.4175071716309;2019-10-08 01:11:52.859395;2019-10-08 01:11:53.421812
2;499.83930587768555;2019-10-08 01:11:53.687374;2019-10-08 01:11:54.187214
3;546.6938018798828;2019-10-08 01:11:54.546557;2019-10-08 01:11:55.093251
4;499.88412857055664;2019-10-08 01:11:55.390055;2019-10-08 01:11:55.889939
5;562.4163150787354;2019-10-08 01:11:56.155500;2019-10-08 01:11:56.717917
6;531.1169624328613;2019-10-08 01:11:56.999102;2019-10-08 01:11:57.530219
7;515.4542922973633;2019-10-08 01:11:57.795790;2019-10-08 01:11:58.311244
8;562.370777130127;2019-10-08 01:11:58.592463;2019-10-08 01:11:59.154834
9;515.4898166656494;2019-10-08 01:11:59.436032;2019-10-08 01:11:59.951521
10;734.2023849487305;2019-10-08 01:12:00.232667;2019-10-08 01:12:00.966869
