i exec;duracao (ms);hora início;hora fim
1;113410.88604927063;2019-10-08 01:37:14.560173;2019-10-08 01:39:07.971059
2;116660.11357307434;2019-10-08 01:39:44.759230;2019-10-08 01:41:41.419343
3;115315.3440952301;2019-10-08 01:42:18.349026;2019-10-08 01:44:13.664371
4;125314.33868408203;2019-10-08 01:44:50.671375;2019-10-08 01:46:55.985713
5;115363.45553398132;2019-10-08 01:47:32.602542;2019-10-08 01:49:27.965997
6;116316.44129753113;2019-10-08 01:50:04.645296;2019-10-08 01:52:00.961737
7;115215.5818939209;2019-10-08 01:52:38.702823;2019-10-08 01:54:33.918405
8;115379.13203239441;2019-10-08 01:55:10.972181;2019-10-08 01:57:06.351314
9;115592.42820739746;2019-10-08 01:57:43.000434;2019-10-08 01:59:38.592863
10;114613.6360168457;2019-10-08 02:00:15.506095;2019-10-08 02:02:10.119731
