i exec;duracao (ms);hora início;hora fim
1;3358.590841293335;2019-10-08 01:01:52.138926;2019-10-08 01:01:55.497517
2;3671.001672744751;2019-10-08 01:01:57.590778;2019-10-08 01:02:01.261780
3;3046.109676361084;2019-10-08 01:02:02.823923;2019-10-08 01:02:05.870033
4;4228.117227554321;2019-10-08 01:02:07.244710;2019-10-08 01:02:11.472827
5;3134.417772293091;2019-10-08 01:02:12.831856;2019-10-08 01:02:15.966274
6;3874.087333679199;2019-10-08 01:02:17.434678;2019-10-08 01:02:21.308765
7;2962.502956390381;2019-10-08 01:02:23.074031;2019-10-08 01:02:26.036534
8;3561.697483062744;2019-10-08 01:02:27.661160;2019-10-08 01:02:31.222858
9;3077.440023422241;2019-10-08 01:02:32.581871;2019-10-08 01:02:35.659312
10;3540.7145023345947;2019-10-08 01:02:37.377619;2019-10-08 01:02:40.918333
