i exec;duracao (ms);hora início;hora fim
1;15.624523162841797;2019-10-08 03:14:58.706406;2019-10-08 03:14:58.722030
2;31.27884864807129;2019-10-08 03:14:58.753223;2019-10-08 03:14:58.784502
3;31.19349479675293;2019-10-08 03:14:58.800135;2019-10-08 03:14:58.831328
4;46.86427116394043;2019-10-08 03:14:58.846950;2019-10-08 03:14:58.893814
5;46.866655349731445;2019-10-08 03:14:58.925057;2019-10-08 03:14:58.971924
6;46.8599796295166;2019-10-08 03:14:58.987546;2019-10-08 03:14:59.034407
7;31.19969367980957;2019-10-08 03:14:59.050072;2019-10-08 03:14:59.081272
8;15.587091445922852;2019-10-08 03:14:59.112548;2019-10-08 03:14:59.128135
9;31.2042236328125;2019-10-08 03:14:59.159416;2019-10-08 03:14:59.190621
10;31.239986419677734;2019-10-08 03:14:59.206244;2019-10-08 03:14:59.237484
