i exec;duracao (ms);hora início;hora fim
1;122330.62505722046;2019-10-08 03:33:01.023206;2019-10-08 03:35:03.353831
2;124402.77647972107;2019-10-08 03:35:28.130608;2019-10-08 03:37:32.533384
3;124423.91753196716;2019-10-08 03:37:57.512320;2019-10-08 03:40:01.936238
4;124111.58418655396;2019-10-08 03:40:26.274709;2019-10-08 03:42:30.386293
5;124517.6088809967;2019-10-08 03:42:54.769515;2019-10-08 03:44:59.287124
6;134062.2193813324;2019-10-08 03:45:23.453321;2019-10-08 03:47:37.515541
7;125887.1955871582;2019-10-08 03:48:02.322712;2019-10-08 03:50:08.209908
8;125027.88949012756;2019-10-08 03:50:32.298035;2019-10-08 03:52:37.325924
9;125064.33701515198;2019-10-08 03:53:01.709796;2019-10-08 03:55:06.774133
10;123627.21562385559;2019-10-08 03:55:31.472361;2019-10-08 03:57:35.099576
