i exec;duracao (ms);hora início;hora fim
1;24072.46494293213;2019-10-08 03:10:14.419636;2019-10-08 03:10:38.492101
2;23025.79379081726;2019-10-08 03:10:43.178495;2019-10-08 03:11:06.204289
3;23681.923866271973;2019-10-08 03:11:11.031336;2019-10-08 03:11:34.713260
4;23806.889533996582;2019-10-08 03:11:39.384038;2019-10-08 03:12:03.190928
5;23395.484685897827;2019-10-08 03:12:07.971064;2019-10-08 03:12:31.366549
6;23320.852756500244;2019-10-08 03:12:36.584035;2019-10-08 03:12:59.904888
7;23260.189533233643;2019-10-08 03:13:04.779105;2019-10-08 03:13:28.039295
8;23619.441509246826;2019-10-08 03:13:32.741278;2019-10-08 03:13:56.360720
9;23556.957960128784;2019-10-08 03:14:01.110059;2019-10-08 03:14:24.667017
10;23338.260173797607;2019-10-08 03:14:29.463277;2019-10-08 03:14:52.801538
