i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 03:29:04.927079;2019-10-08 03:29:04.927079
2;15.62047004699707;2019-10-08 03:29:04.973941;2019-10-08 03:29:04.989561
3;0.0;2019-10-08 03:29:05.005184;2019-10-08 03:29:05.005184
4;0.0;2019-10-08 03:29:05.005184;2019-10-08 03:29:05.005184
5;0.0;2019-10-08 03:29:05.005184;2019-10-08 03:29:05.005184
6;0.0;2019-10-08 03:29:05.005184;2019-10-08 03:29:05.005184
7;0.0;2019-10-08 03:29:05.020820;2019-10-08 03:29:05.020820
8;0.0;2019-10-08 03:29:05.020820;2019-10-08 03:29:05.020820
9;0.0;2019-10-08 03:29:05.020820;2019-10-08 03:29:05.020820
10;0.0;2019-10-08 03:29:05.020820;2019-10-08 03:29:05.020820
