i exec;duracao (ms);hora início;hora fim
1;0.0;2019-10-08 03:09:30.044499;2019-10-08 03:09:30.044499
2;0.0;2019-10-08 03:09:30.059838;2019-10-08 03:09:30.059838
3;0.0;2019-10-08 03:09:30.107062;2019-10-08 03:09:30.107062
4;0.0;2019-10-08 03:09:30.107062;2019-10-08 03:09:30.107062
5;0.0;2019-10-08 03:09:30.122332;2019-10-08 03:09:30.122332
6;0.0;2019-10-08 03:09:30.137957;2019-10-08 03:09:30.137957
7;0.0;2019-10-08 03:09:30.137957;2019-10-08 03:09:30.137957
8;0.0;2019-10-08 03:09:30.137957;2019-10-08 03:09:30.137957
9;0.0;2019-10-08 03:09:30.137957;2019-10-08 03:09:30.137957
10;0.0;2019-10-08 03:09:30.153604;2019-10-08 03:09:30.153604
